,Time,User,Tweet
38,2023-01-26 07:51:28,AJENews,BREAKING: Israeli raid kills three Palestinians in Jenin fighting https://t.co/Dm3abIhNWE https://t.co/zkqE1viZLo
39,2023-01-25 17:13:39,AJENews,BREAKING: Biden: US to send 31 Abram tanks to Ukraine https://t.co/th4ZIizouG https://t.co/Mh4SCDVC0T
40,2023-01-22 11:01:30,AJENews,BREAKING: Nine killed in shooting near Los Angeles after Lunar New Year festival https://t.co/dLtrPhbyfd https://t.co/nINVSbGtpF
41,2023-01-19 09:17:48,AJENews,"BREAKING: Two dead, dozens injured in stampede at Iraqi football stadium https://t.co/Ndl5yMiCgs"
42,2023-01-18 11:35:39,AJENews,Ukraine helicopter crash: What we know so far https://t.co/gr7lk5hf3g https://t.co/v4JIbQZidZ
43,2023-01-18 09:16:02,AJENews,"UPDATE: At least 16 people, including two children, killed after the helicopter crashed near a nursery outside Kyiv, officials say 

https://t.co/JtscgnHYze https://t.co/aJGe10Hs1c"
44,2023-01-18 08:55:41,AJENews,BREAKING: Ukraine interior minister killed in helicopter crash: Police https://t.co/vilmw5KRqa https://t.co/LVmGNlxN6C
45,2023-01-18 01:50:44,AJENews,Philippines’s Maria Ressa and her news site Rappler acquitted of tax evasion https://t.co/ONJ5gInDEH
46,2023-01-15 09:31:08,AJENews,"PM Pushpa Kamal Dahal said the plane was flying from the capital, Kathmandu, to Pokhara in central Nepal.

— in pictures https://t.co/rWLlMfUGhu https://t.co/TTXCSsMRIN"
47,2023-01-15 09:20:46,AJENews,Timeline: Nepal air crashes since 2010 https://t.co/lOjqdzsBvq https://t.co/ncqaJv8crd
48,2023-01-15 07:12:11,AJENews,"UPDATE: At least 16 people killed when the aircraft crashed in Pokhara, according to an army spokesman

https://t.co/J4161vKaWA https://t.co/bCZ19Ivh8X"
49,2023-01-15 06:25:41,AJENews,BREAKING: Plane with 72 people on board crashes in Nepal https://t.co/J4161vKaWA https://t.co/bfOk1nvM0Q
50,2023-01-14 12:20:21,AJENews,UPDATE: Ukraine refutes Moscow’s claims it captured Soledar. https://t.co/M1u6C5ZtxL
51,2023-01-14 10:21:45,AJENews,"Residential building hit in Kyiv region: Officials.

Follow all the latest updates: https://t.co/M1u6C5ZtxL"
52,2023-01-14 09:14:30,AJENews,"BREAKING: Russian missiles hit critical infrastructure in Ukraine’s capital

https://t.co/kYE3M03HN5 https://t.co/foxwbGwdWr"
53,2023-01-14 06:24:48,AJENews,BREAKING: Iran hangs former defence ministry official for spying https://t.co/quHmJosxEi https://t.co/VVRdsdktJ3
54,2023-01-11 13:21:26,AJENews,BREAKING: Explosion outside Afghan foreign ministry in Kabul https://t.co/KGJM7Ipv0C https://t.co/ryon5t5BxC
55,2023-01-08 19:41:44,AJENews,DEVELOPING: Jair Bolsonaro supporters storm Brazil’s Congress https://t.co/KqcPBHG79F https://t.co/ewGggWqe1O
56,2023-01-07 06:05:56,AJENews,BREAKING: Republican Kevin McCarthy elected US House speaker https://t.co/uU0bAvoFKf https://t.co/U8ZYuVu7Hn
57,2023-01-06 10:12:43,AJENews,BREAKING: Italy’s football star Gianluca Vialli dies aged 58 https://t.co/I5HduT1b98 https://t.co/IIWHz24xvn
58,2023-01-03 05:45:17,AJENews,"BREAKING: In provocation, Israel far-right minister enters Al-Aqsa compound https://t.co/0lhJ6aCFia https://t.co/FXQHc2MhVv"
59,2023-01-02 00:45:22,AJENews,"BREAKING: Israeli air raid kills two Syrian soldiers, puts Damascus International Airport out of service, says Syria's military https://t.co/PvYwWYYF4y https://t.co/H3kCqDU1zn"
60,2022-12-31 09:46:56,AJENews,BREAKING: Pope Emeritus Benedict XVI dies at age 95 https://t.co/8by7dJTew8 https://t.co/pxerXDLhjO
61,2022-12-30 08:30:56,AJENews,"BREAKING: An attack in eastern Syria killed 10 oil field workers, state news agency SANA has reported https://t.co/8Mi7aK4qzh https://t.co/YojmjQfa9A"
62,2022-12-29 19:32:53,AJENews,BREAKING: Brazilian football legend Pele dies at age 82 https://t.co/9OdLgOaNCe https://t.co/0Jsb2pV2P1
63,2022-12-29 14:53:11,AJENews,BREAKING: Benjamin Netanyahu sworn in as prime minister of Israel’s most right-wing government in history https://t.co/yoPlinRGHE https://t.co/KOV7PbRLNK
64,2022-12-23 12:05:37,AJENews,BREAKING: At least two people dead after shooting in Paris https://t.co/4mE4SGyn23 https://t.co/QNlAX2ZDL1
65,2022-12-19 19:33:45,AJENews,BREAKING: US Capitol riot: Lawmakers recommend filing charges against Trump https://t.co/fJ6EV76n0F https://t.co/DHOnK1ifji
66,2022-12-19 07:39:53,AJENews,BREAKING: Three Jordanian police killed during raid on hideout in Maan https://t.co/qojlZuIkEI https://t.co/Nq3qr0chLT
67,2022-12-15 07:08:47,AJENews,BREAKING: Irish soldier killed after UN convoy attacked in Lebanon https://t.co/gaeqIRxr0D https://t.co/FGeY4hKK6k
68,2022-12-10 16:10:07,AJENews,Follow the Nobel Peace Prize award ceremony live https://t.co/QzIFDk1LO2
69,2022-12-09 10:53:56,AJENews,BREAKING: Brittney Griner lands in the US after Russia prisoner exchange https://t.co/noP9WvYeIs https://t.co/v55v7eIAu4
